,0
477,51.59375
478,51.625
479,51.625
480,51.625
481,51.65625
482,51.65625
483,51.6875
484,51.71875
485,51.71875
486,51.6875
487,51.71875
488,51.71875
489,51.75
490,51.78125
491,51.75
492,51.78125
493,51.8125
494,51.84375
495,51.84375
496,51.84375
497,51.84375
498,51.84375
499,51.875
500,51.875
501,51.875
502,51.875
503,51.9375
504,51.90625
505,51.9375
506,51.9375
507,51.9375
508,51.96875
509,51.96875
510,51.96875
511,51.96875
512,52.0
513,52.0
514,52.03125
515,52.03125
516,52.0625
517,52.03125
518,52.03125
519,52.0625
520,52.09375
521,52.125
522,52.125
523,52.125
524,52.125
525,52.09375
526,52.125
527,52.125
528,52.15625
529,52.125
530,52.15625
531,52.15625
532,52.1875
533,52.1875
534,52.15625
535,52.1875
536,52.21875
537,52.25
538,52.21875
539,52.21875
540,52.25
541,52.25
542,52.25
543,52.25
544,52.28125
545,52.28125
546,52.3125
547,52.3125
548,52.3125
549,52.3125
550,52.3125
551,52.34375
552,52.34375
553,52.34375
554,52.34375
555,52.375
556,52.34375
557,52.375
558,52.375
559,52.40625
560,52.40625
561,52.40625
562,52.40625
563,52.40625
564,52.4375
565,52.4375
566,52.40625
567,52.4375
568,52.46875
569,52.46875
570,52.46875
571,52.46875
572,52.46875
573,52.46875
574,52.46875
575,52.5
576,52.5
577,52.5
578,52.5
579,52.5
580,52.5
581,52.5
582,52.5625
583,52.53125
584,52.53125
585,52.5625
586,52.53125
587,52.5625
588,52.59375
589,52.53125
590,52.5625
591,52.59375
592,52.5625
593,52.5625
594,52.5625
595,52.59375
596,52.59375
597,52.625
598,52.625
599,52.625
600,52.625
601,52.625
602,52.625
603,52.65625
604,52.65625
605,52.625
606,52.65625
607,52.65625
608,52.65625
609,52.6875
610,52.6875
611,52.6875
612,52.65625
613,52.65625
614,52.65625
615,52.65625
616,52.6875
617,52.6875
618,52.6875
619,52.6875
620,52.71875
621,52.71875
622,52.71875
623,52.71875
624,52.6875
625,52.71875
626,52.71875
627,52.71875
628,52.71875
629,52.75
630,52.75
631,52.75
632,52.75
633,52.75
634,52.78125
635,52.75
636,52.75
637,52.78125
638,52.75
639,52.78125
640,52.78125
641,52.78125
642,52.75
643,52.78125
644,52.78125
645,52.8125
646,52.78125
647,52.75
648,52.78125
649,52.78125
650,52.78125
651,52.8125
652,52.8125
653,52.78125
654,52.78125
655,52.8125
656,52.8125
657,52.8125
658,52.8125
659,52.78125
660,52.78125
661,52.8125
662,52.8125
663,52.8125
664,52.8125
665,52.8125
666,52.84375
667,52.84375
668,52.84375
669,52.8125
670,52.84375
671,52.84375
672,52.8125
673,52.84375
674,52.8125
675,52.8125
676,52.84375
677,52.84375
678,52.84375
679,52.84375
680,52.84375
681,52.875
682,52.84375
683,52.84375
684,52.84375
685,52.84375
686,52.875
687,52.875
688,52.875
689,52.875
690,52.84375
691,52.84375
692,52.84375
693,52.8125
694,52.84375
695,52.84375
696,52.875
697,52.84375
698,52.875
699,52.84375
700,52.84375
701,52.84375
702,52.84375
703,52.84375
704,52.84375
705,52.84375
706,52.84375
707,52.84375
708,52.84375
709,52.84375
710,52.875
711,52.875
712,52.90625
713,52.875
714,52.875
715,52.90625
716,52.90625
717,52.875
718,52.875
719,52.84375
720,52.875
721,52.875
722,52.84375
723,52.84375
724,52.875
725,52.875
726,52.875
727,52.875
728,52.875
729,52.84375
730,52.84375
731,52.875
732,52.875
733,52.875
734,52.84375
735,52.875
736,52.875
737,52.875
738,52.875
739,52.875
740,52.875
741,52.875
742,52.84375
743,52.84375
744,52.875
745,52.875
746,52.875
747,52.875
748,52.875
749,52.875
750,52.84375
751,52.875
752,52.84375
753,52.84375
754,52.875
755,52.875
756,52.875
757,52.875
758,52.84375
759,52.84375
760,52.84375
761,52.84375
762,52.84375
763,52.875
764,52.875
765,52.84375
766,52.84375
767,52.84375
768,52.84375
769,52.84375
770,52.875
771,52.84375
772,52.84375
773,52.84375
774,52.84375
775,52.875
776,52.84375
777,52.8125
778,52.84375
779,52.84375
780,52.84375
781,52.84375
782,52.8125
783,52.84375
784,52.84375
785,52.84375
786,52.8125
787,52.8125
788,52.8125
789,52.8125
790,52.8125
791,52.84375
792,52.8125
793,52.8125
794,52.8125
795,52.8125
796,52.8125
797,52.8125
798,52.8125
799,52.8125
800,52.8125
801,52.78125
802,52.78125
803,52.8125
804,52.8125
805,52.8125
806,52.8125
807,52.84375
808,52.8125
809,52.8125
810,52.8125
811,52.75
812,52.78125
813,52.8125
814,52.8125
815,52.8125
816,52.78125
817,52.78125
818,52.78125
819,52.8125
820,52.75
821,52.8125
822,52.8125
823,52.78125
824,52.78125
825,52.78125
826,52.78125
827,52.78125
828,52.78125
829,52.78125
830,52.75
831,52.75
832,52.78125
833,52.75
834,52.75
835,52.75
836,52.75
837,52.75
838,52.75
839,52.75
